          dates,Median: Non-structural shadow-rate VAR (ex Yields),5%: Non-structural shadow-rate VAR (ex Yields),95%: Non-structural shadow-rate VAR (ex Yields),Median: General shadow-rate VAR (ex Yields),5%: General shadow-rate VAR (ex Yields),95%: General shadow-rate VAR (ex Yields),Median: Non-structural shadow-rate VAR (w/restrictions) (w/Yields),5%: Non-structural shadow-rate VAR (w/restrictions) (w/Yields),95%: Non-structural shadow-rate VAR (w/restrictions) (w/Yields)
        2013-02,       -5.3284918866563868e-01,       -1.2188831638635607e+00,        1.8176066928625043e-02,       -1.1864326163966724e-01,       -4.7483984155998138e-01,        1.8443395432993021e-01,       -2.0869238487716490e+00,       -3.2035340229811773e+00,       -1.1473194179959105e+00
        2013-03,       -5.0594119901482892e-01,       -1.2056412667992951e+00,        7.2969772681091699e-02,       -9.1477588711120106e-02,       -4.8262350431917989e-01,        1.9997625851761253e-01,       -2.1062886208220029e+00,       -3.1386496721025949e+00,       -1.1031457857071065e+00
        2013-04,       -6.4554280336876890e-01,       -1.4185491842948357e+00,       -7.2702966587988471e-02,       -1.7295898184852465e-01,       -5.5733134243299709e-01,        1.3532030538829992e-01,       -2.1333601342530844e+00,       -3.1264980822084052e+00,       -1.1470340728456951e+00
        2013-05,       -5.7456503259335967e-01,       -1.3304060348456264e+00,       -5.8156315941485869e-02,       -1.4267541158569425e-01,       -5.3065019746523356e-01,        1.6894280117345703e-01,       -2.0987700181220514e+00,       -3.0622453446878510e+00,       -1.1052572457685521e+00
        2013-06,       -6.1247545841762485e-01,       -1.3746809079072695e+00,       -1.1308757758142032e-01,       -1.5957434086011993e-01,       -5.5355498210409726e-01,        1.4456225333494865e-01,       -2.1441013089303569e+00,       -3.2045707521409867e+00,       -1.1385306993520083e+00
        2013-07,       -6.4494772005541634e-01,       -1.4239493330253938e+00,       -8.9547181735874448e-02,       -1.6962713847320710e-01,       -5.7020064973145956e-01,        1.3244760935359506e-01,       -2.1505786771860347e+00,       -3.3508198928435897e+00,       -1.1524049010235036e+00
        2013-08,       -4.9678668198077802e-01,       -1.2079972896659410e+00,        2.3468130423668104e-02,       -4.4353970437036337e-02,       -4.2802144664217279e-01,        1.9281599435437030e-01,       -2.0498647295167114e+00,       -3.2306676538101469e+00,       -1.0607695965588624e+00
        2013-09,       -5.5654784981574534e-01,       -1.3524541631176548e+00,       -2.5680034681502067e-02,       -8.7170697767919608e-02,       -4.5436328707502832e-01,        1.5596493779540863e-01,       -1.9383749036866853e+00,       -3.1814200492589024e+00,       -9.8804559645562473e-01
        2013-10,       -6.1307814422949725e-01,       -1.5642737400542270e+00,       -9.0109778444277533e-02,       -1.5613023119190528e-01,       -5.2462506611606674e-01,        1.2042253361313061e-01,       -1.9499570503015822e+00,       -3.1557633670289551e+00,       -1.0278723208645293e+00
        2013-11,       -6.0311358535500081e-01,       -1.5600480185757468e+00,       -1.0332475586235321e-01,       -1.6080530444322028e-01,       -5.1872631211903530e-01,        1.1882285476422316e-01,       -1.9399121307982248e+00,       -3.1125789388663767e+00,       -1.0313189829284717e+00
