dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PPICMM,PCEPI,WUXIASHADOWRATE,HOUST,SP500,EXUSUKx,TB6MS,GS1,GS5,GS10,BAA
729815,7.34949079411393,5.3401397237625,0.492758620880807,82.3591,4.7,1.41977792563495,40.9,2.54687042898105,-0.919188095498669,-14.5582374822251,0.192531387040162,5.36670399251365,7.35691824235602,60.6707420633544,15.333118050368,5.04,5.39,5.61,5.65,7.32
729846,4.46569078569539,6.38038664636795,4.34087065102453,82.157,4.3,2.66234756421966,40.6,0,1.83767264091301,18.6854986445166,1.47504861915664,5.33143516179223,7.33953769540767,38.7821951090373,7.48607790431941,5.06,5.38,5.61,5.64,7.33
729876,5.51294801206765,8.64776227041268,7.50376592117874,81.9965,4.4,3.83945314526741,40.9,4.23280862156172,-1.83767264091301,-36.6041451520978,1.64926469568059,5.41204263534644,7.33693691370762,-4.08534948000572,-24.7222155666904,5.14,5.44,5.63,5.65,7.3
729907,6.93513801026668,7.94322721537526,-7.23360093905328,80.8345,4.5,2.21022609323782,40.8,-0.845368122316437,-0.919892724234828,-29.0206709434607,-1.00850431148558,5.29416504942893,7.40306109109009,-0.0324791028567972,8.90352561064851,5.12,5.41,5.52,5.5,7.13
729937,2.22557509566315,0.761008220435855,-4.82543886917384,79.9783,4.5,1.2272031067873,40.8,-1.69252496323438,2.75756536514784,-25.2872389622844,2.95907432327027,5.23162320227019,7.43720636687129,51.0706350927045,-4.88146145347497,5.03,5.36,5.46,5.46,7.15
729968,4.60760874019712,5.46505871279273,24.4615137638608,81.4302,4.5,3.21900576412588,40.9,9.27948385061867,-2.75756536514784,-16.7834903696878,1.66028123547619,5.12985037110949,7.38647084882989,-88.2003165764846,-6.95569231424706,4.95,5.21,5.27,5.34,7.14
729999,4.24567313653981,8.88644552874283,-1.05372385728515,80.8757,4.6,1.97081719493397,40.6,1.679496425308,0,6.74159076506733,-0.702146353712152,4.84767091690398,7.3664451483276,-61.8446750451394,34.8102201294091,4.63,4.71,4.62,4.81,7.09
730029,2.3372201678626,4.05245220553319,8.27676583419432,81.1189,4.5,1.91087361924147,40.9,4.18848592772232,4.59242810796212,-10.1266423750374,2.6309331080526,4.73358858499737,7.44716835960004,13.8289298752142,8.60014934643281,4.05,4.12,4.18,4.53,7.18
730060,5.82810135881289,3.25870295580692,-1.02663444518498,80.8023,4.4,2.61541893961308,40.8,1.67130946236416,-0.917080671307247,-25.119851599759,0.0637086391726882,4.73528744067834,7.41457288135059,123.543248063573,-23.818394820133,4.42,4.53,4.54,4.83,7.34
730090,2.96571606682861,9.73981658981415,5.11614173510466,80.8622,4.4,3.43762866207626,41.1,3.33565190459684,4.57841074278313,-38.6941193002269,1.19391115211158,4.69305814446258,7.49108759353488,46.9063519043793,6.98702415118699,4.4,4.52,4.45,4.65,7.23
730121,4.61182446172046,-1.00504588307366,4.97775638761944,80.6633,4.3,0.996482599232706,40.7,0.83246621444637,3.65019292858157,-26.5071018557684,1.70125966738155,4.75866389196294,7.46622755621548,57.7964925850893,-15.1781822356669,4.33,4.51,4.6,4.72,7.29
730152,5.07416050229565,5.67322518291071,6.85437720352802,80.9673,4.4,3.9214801415774,40.8,3.3241018485791,-4.56447868709695,-23.3733683514846,-0.683393943415567,4.84695457653347,7.4205789054108,-2.10631829180699,-16.2570375589157,4.44,4.7,4.91,5,7.39
